ID,Sponsor Award Number,Account,Sponsor,sponsorNameNotAsLink(),Prime Sponsor,primeSponsorNotAsLink(),PI Last,PI First,Lead Financial Unit Code,Lead Financial Unit,leadFinancialUnitNotAsLink(),Short Title,AMT GCO,Obligated,Anticipated,Award Start Date,Obligated End Date,Award End Date (Anticipated),Teams,Status,Authorized Total,Awarded Total,Proposed Total
AWD00004867,DAAL0388G0045,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[C437A8AA38A5A34C80DB7A009CA68E33]]'>GR07409</a> ,US Department of Defense (DOD),US Department of Defense (DOD),,,Ferry,David,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,6TH HOT CARRIERS IN SEMICONDUCTORS CONFERENCE,Stewart,"$5,000","$5,000",8/22/1988,2/21/1990,2/21/1990,Team 1,Closed,"$5,000","$5,000","$5,000"
AWD00004994,CHE8818869,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[298274191B6F2C4CBDC0649A49776F91]]'>GR17355</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Balasubramanian,Krishnan,B1715,"CLAS-NS: Molecular Sciences, School of (SMS)","CLAS-NS: Molecular Sciences, School of (SMS)",ELECTRONIC STRUCTURE OF SEMICONDUCTOR & HEAVY GROUP CLUSTERS,Taylor,"$119,200","$119,200",1/1/1989,6/30/1992,6/30/1992,Team 3,Closed,"$119,200","$119,200","$119,200"
AWD00005056,DMR8814918,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[BDE2F8B2840AA046AD695521EC6FE3AF]]'>GR02396</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Menendez,Jose,B1717,CLAS-NS: Physics,CLAS-NS: Physics,LIGHT SCATTERING STDS OF SEMICONDUCTOR HETEROSTRUCTURE INTER,Taylor,"$212,520","$212,520",2/15/1989,7/31/1992,7/31/1992,Team 3,Closed,"$212,520","$212,520","$212,520"
AWD00005062,SI367089,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[187A6F31B70A4048B68CF0A19968DCC9]]'>GR09055</a> ,"Motorola, Inc.","Motorola, Inc.",,,Kozicki,Michael,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,ADVANCED SEMICONDUCTOR PROCESSING TECHNIQUES,Stewart,"$18,000","$18,000",3/1/1989,8/31/1990,8/31/1990,Team 1,Closed,"$18,000","$18,000","$18,000"
AWD00005976,AGRMNT 02/01/91,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[3FC58813BE900846B59B7EEC049AF46C]]'>GR09050</a> ,"Motorola, Inc.","Motorola, Inc.",,,Kozicki,Michael,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,ADVANCED SEMICONDUCTOR PROCESSING TECHNIQUES-PHASE II,Stewart,"$31,689","$31,689",1/1/1991,5/15/1992,5/15/1992,Team 1,Closed,"$31,689","$31,689","$31,689"
AWD00006020,DAAL0391G0054-P00003,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[8AE194FA1F12DE4789C8BD4001B0462F]]'>GR01653</a> ,US Department of Defense (DOD),US Department of Defense (DOD),,,Dow,John,B1717,CLAS-NS: Physics,CLAS-NS: Physics,SCANNING TUNNELING MICROSOPY OF III-V SEMICONDUCTORS,Taylor,"$330,000","$330,000",3/1/1991,2/28/1994,2/28/1994,Team 3,Closed,"$330,000","$330,000","$330,000"
AWD00006072,DAAL0391G0067-P00003,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[920C24FD57B154449604601B97EBBAE5]]'>GR07334</a> ,US Department of Defense (DOD),US Department of Defense (DOD),,,Ferry,David,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,QUANTUM TRANSPORT IN SEMICONDUCTOR DEVICES,Stewart,"$390,000","$390,000",5/1/1991,4/30/1994,4/30/1994,Team 1,Closed,"$390,000","$390,000","$390,000"
AWD00006073,N0001491J1697-P00003,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[7196298183CD1C44A986FD089CA3137D]]'>GR01648</a> ,US Department of Defense (DOD),US Department of Defense (DOD),,,TBD12,PD/PI,B1717,CLAS-NS: Physics,CLAS-NS: Physics,DE-PHASING PROCESSES IN III-V SEMICONDUCTORS,Taylor,"$150,000","$150,000",5/1/1991,5/31/1992,5/31/1992,Team 3,Closed,"$150,000","$150,000","$150,000"
AWD00006273,AFOSR910418-B,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[49D36B57B4D29F4991726EC987FDDC5C]]'>GR01649</a> ,DOD: Air Force (USAF),DOD: Air Force (USAF),,,Dow,John,B1717,CLAS-NS: Physics,CLAS-NS: Physics,STRAINED-BOND SEMICONDUCTORS,Taylor,"$148,812","$148,812",9/1/1991,11/30/1993,11/30/1993,Team 3,Closed,"$148,812","$148,812","$148,812"
AWD00006500,DMR9116505-003,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[D9E7C781585CA247A47A0092699067E7]]'>GR02374</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Tsong,Ignatius,B1717,CLAS-NS: Physics,CLAS-NS: Physics,STRUC OF SURFACES & INTERFACES OF METAL/SEMICONDUCTOR SYS,Taylor,"$260,400","$260,400",3/1/1992,2/28/1996,2/28/1996,Team 3,Closed,"$260,400","$260,400","$260,400"
